Ticker,Price,Change,Change %,Volume,Market Cap,52W Change,Beta
AADI,2.42,0.06000000000000005,2.5423728813559343,51391,59646708.0,-0.49372385563326715,0.369
A,140.58,2.710000000000008,1.965619786755645,1297477,40092430336.0,0.09988554114564509,1.072
AACG,0.8704,-0.031000000000000028,-3.4390947415132045,36578,27394882.0,-0.022471889042670362,0.782
AACT,10.925,-0.004999999999999005,-0.04574565416284543,34649,682812480.0,0.052504823726902225,
AA,42.49,-3.6799999999999997,-7.970543643058262,9493971,10977504256.0,0.7238142440446689,2.419
AAME,1.547,0.09699999999999998,6.689655172413792,3860,31558492.0,-0.18556415674564958,0.462
AAM,10.07,0.0,0.0,5477,442818176.0,,
AAOI,38.88,4.400000000000006,12.761020881670552,6017835,1752640512.0,1.2015855834683202,1.961
AAON,137.25,1.490000000000009,1.0975250441956461,483091,11155624960.0,1.1116685868492826,0.791
AAL,17.4,0.019999999999999574,0.11507479861909997,41908796,11434079232.0,0.2508986203739939,1.399
AAP,44.97,1.3599999999999994,3.118550791102957,2221523,2686260480.0,-0.1859429892934447,1.194
AB,35.6,-0.19999999999999574,-0.5586592178770831,253374,4038285824.0,0.3210500168841338,1.233
ABAT,0.888,-0.0020000000000000018,-0.2247191011235957,247526,66175268.0,-0.7834146263172481,1.854
AAPL,242.84,-0.19999999999998863,-0.08229098090848776,35758824,3670720643072.0,0.256136593301878,1.24
AAT,27.74,-0.08999999999999986,-0.3233920229967656,207840,2138285312.0,,1.311
ABBV,176.19,0.020000000000010232,0.011352670715791697,3658077,311352393728.0,0.23424106462862257,0.613
ABCL,3.0,0.1499999999999999,5.263157894736839,2367323,886098048.0,-0.38016530879736943,0.351
ABEO,6.03,0.015000000000000568,0.24937655860350072,150643,262130144.0,0.26947372838070516,1.505
ABCB,69.39,0.519999999999996,0.7550457383476057,196753,4792538624.0,0.4998889729848556,1.023
ABEV,2.29,-0.04999999999999982,-2.136752136752129,39671114,37538594816.0,-0.1509170712241958,0.552
ABG,258.98,-0.18000000000000682,-0.06945516283377327,99651,5072771072.0,0.20003713412773405,1.165
ABLLW,1.13,0.009999999999999787,0.8928571428571237,9476,,,
ABL,7.93,0.0,0.0,199489,744567488.0,0.11753094855178525,0.148
ABNB,136.92,0.5999999999999943,0.4401408450704184,4284461,85543780352.0,-0.02088099431789043,1.156
ABLVW,0.019,0.0001999999999999988,1.063829787234036,10,,,2.873
ABLV,0.71,-0.08000000000000007,-10.12658227848102,13495,29733664.0,-0.75,2.873
ABM,57.44,0.7399999999999949,1.3051146384479626,253612,3606732288.0,0.34265848064630006,1.132
ABOS,2.16,0.040000000000000036,1.8867924528301903,366580,129772376.0,-0.2313166797811029,0.039
ABR,14.31,0.3100000000000005,2.214285714285718,1638299,2698994688.0,0.18619317248459147,2.014
ABSI,3.11,0.18999999999999995,6.506849315068491,1712303,357202144.0,0.3122363060208239,2.187
ABT,115.6,0.009999999999990905,0.008651267410667796,3298824,200503574528.0,0.13317566615541876,0.722
ABUS,3.68,0.050000000000000266,1.3774104683195665,473250,697330560.0,0.7692308662205793,1.916
ABTS,0.6539,-0.03709999999999991,-5.3690303907380486,62305,23249220.0,-0.35247525699044463,2.706
ABVE,0.6,0.0020999999999999908,0.3512293025589548,82840,17100000.0,,-0.009
ABVX,8.81,0.4800000000000004,5.762304921968792,41556,557996352.0,-0.14466016927441033,1.423
ABVC,0.5049,-0.027599999999999958,-5.183098591549288,126417,6182248.0,-0.5960000038146973,0.816
ABVEW,0.0253,-0.001299999999999999,-4.887218045112779,23563,,,-0.009
AC,36.49,0.3200000000000003,0.8847110865358039,1469,774941824.0,0.14544140393414143,
ACA,108.35,1.2099999999999937,1.129363449691986,195312,5284966400.0,0.40044294213450815,0.71
ACAB,5.77,-5.130000000000001,-47.06422018348624,156199,46398128.0,-0.45590991803410685,0.014
ACAD,17.28,0.5700000000000003,3.411131059245962,1081187,2875253760.0,-0.20697567872372385,0.379
ACB,4.49,0.1299999999999999,2.9816513761467864,533372,248891920.0,-0.085539733064414,2.697
ACABW,0.06,0.0349,139.0438247011952,199339,,,0.014
ACCO,6.09,0.07000000000000028,1.1627906976744233,511506,565645312.0,0.17989723198926866,1.615
ACCD,3.69,0.1499999999999999,4.237288135593218,904293,297181920.0,-0.6006493345644403,2.016
ACET,1.05,0.06259999999999999,6.3398825197488335,350733,86521048.0,-0.23357667980898322,1.698
ACEL,12.35,0.29999999999999893,2.4896265560165887,879150,1059549824.0,0.23623630274492105,1.476
ACDC,7.41,-0.8399999999999999,-10.18181818181818,786059,1186689280.0,-0.03263707636814917,0.846
ACGL,97.83,-0.6599999999999966,-0.6701187937861677,1315880,36807753728.0,0.31327098932947234,0.613
